lookback_period,body_multiplier,backcandles,test_candles,max_drawdown_threshold,Strategy Total Return,Buy and Hold Total Return,Strategy Total Return Improvement,Strategy Sharpe Ratio,Buy and Hold Sharpe Ratio,Strategy Sharpe Ratio Improvement,Strategy Max Drawdown,Buy and Hold Max Drawdown,Strategy Max Drawdown Improvement,Buy Signals,Sell Signals,Hold Signals
30.0,2.0,60.0,15.0,0.6,10.59985282860092,13.820795332482842,-23.305044510078094,0.053370578762371466,0.054985103972787205,-2.9362956396604925,0.7020398340756644,0.7667059828725817,-8.434282533525522,19,9,1919
30.0,1.5,60.0,15.0,0.6,10.59985282860092,13.820795332482842,-23.305044510078094,0.053370578762371466,0.054985103972787205,-2.9362956396604925,0.7020398340756644,0.7667059828725817,-8.434282533525522,22,10,1915
50.0,1.5,60.0,15.0,0.6,10.59985282860092,13.820795332482842,-23.305044510078094,0.053370578762371466,0.054985103972787205,-2.9362956396604925,0.7020398340756644,0.7667059828725817,-8.434282533525522,20,10,1917
10.0,1.5,60.0,15.0,0.6,10.59985282860092,13.820795332482842,-23.305044510078094,0.053370578762371466,0.054985103972787205,-2.9362956396604925,0.7020398340756644,0.7667059828725817,-8.434282533525522,23,9,1915
10.0,1.0,30.0,5.0,0.4,10.494541222496043,13.820795332482842,-24.067023857658505,0.058503364640394316,0.054985103972787205,6.398570546212554,0.602101971512731,0.7667059828725817,-21.46898746546055,60,43,1844
30.0,1.5,30.0,5.0,0.6,10.428040623058976,13.820795332482842,-24.5481871904283,0.05844764276023903,0.054985103972787205,6.297230590244005,0.5786654934846013,0.7667059828725817,-24.525762624605836,48,33,1866
30.0,1.0,30.0,5.0,0.4,10.426013052839707,13.820795332482842,-24.562857621257297,0.058365809681384856,0.054985103972787205,6.148402866112252,0.6021019715127305,0.7667059828725817,-21.468987465460625,61,43,1843
50.0,1.0,30.0,5.0,0.4,10.426013052839707,13.820795332482842,-24.562857621257297,0.058365809681384856,0.054985103972787205,6.148402866112252,0.6021019715127305,0.7667059828725817,-21.468987465460625,60,43,1844
10.0,2.0,45.0,5.0,0.4,10.239952256802603,13.820795332482842,-25.909095602220724,0.057689375394178476,0.054985103972787205,4.918189156702598,0.631041132530364,0.7667059828725817,-17.694507852140212,55,38,1854
50.0,1.5,60.0,10.0,0.6,10.169802241512683,13.820795332482842,-26.416664187112847,0.05541965907141055,0.054985103972787205,0.7903142255371717,0.6346948144861743,0.7667059828725817,-17.21796507858297,32,19,1896
30.0,1.5,60.0,10.0,0.6,10.169802241512683,13.820795332482842,-26.416664187112847,0.05541965907141055,0.054985103972787205,0.7903142255371717,0.6346948144861743,0.7667059828725817,-17.21796507858297,34,20,1893
50.0,2.0,60.0,10.0,0.6,10.03575912831315,13.820795332482842,-27.386529596265476,0.05459737719569029,0.054985103972787205,-0.7051487568138514,0.6525715007424907,0.7667059828725817,-14.886342963239787,26,12,1909
50.0,1.5,30.0,10.0,0.4,10.002355683031238,13.820795332482842,-27.628219343333825,0.0547605420160801,0.054985103972787205,-0.4084050778884512,0.6053177308561578,0.7667059828725817,-21.04956210355344,26,17,1904
10.0,1.5,30.0,10.0,0.4,10.002355683031238,13.820795332482842,-27.628219343333825,0.0547605420160801,0.054985103972787205,-0.4084050778884512,0.6053177308561578,0.7667059828725817,-21.04956210355344,29,17,1901
50.0,1.5,60.0,10.0,0.4,9.983592556977237,13.820795332482842,-27.763979446877958,0.05563560778024848,0.054985103972787205,1.1830546101780899,0.6053177308561578,0.7667059828725817,-21.04956210355344,37,24,1886
50.0,1.0,60.0,10.0,0.4,9.983592556977237,13.820795332482842,-27.763979446877958,0.05563560778024848,0.054985103972787205,1.1830546101780899,0.6053177308561578,0.7667059828725817,-21.04956210355344,43,26,1878
30.0,1.0,60.0,10.0,0.4,9.983592556977237,13.820795332482842,-27.763979446877958,0.05563560778024848,0.054985103972787205,1.1830546101780899,0.6053177308561578,0.7667059828725817,-21.04956210355344,44,26,1877
10.0,1.0,60.0,10.0,0.4,9.983592556977237,13.820795332482842,-27.763979446877958,0.05563560778024848,0.054985103972787205,1.1830546101780899,0.6053177308561578,0.7667059828725817,-21.04956210355344,43,27,1877
30.0,1.5,60.0,10.0,0.4,9.983592556977237,13.820795332482842,-27.763979446877958,0.05563560778024848,0.054985103972787205,1.1830546101780899,0.6053177308561578,0.7667059828725817,-21.04956210355344,39,25,1883
10.0,1.5,60.0,10.0,0.4,9.983592556977237,13.820795332482842,-27.763979446877958,0.05563560778024848,0.054985103972787205,1.1830546101780899,0.6053177308561578,0.7667059828725817,-21.04956210355344,42,24,1881
10.0,1.5,30.0,5.0,0.4,9.896762882312899,13.820795332482842,-28.39223326712131,0.05723274467550328,0.054985103972787205,4.087726566505102,0.6021019715127305,0.7667059828725817,-21.468987465460625,58,38,1851
