Date,Open,High,Low,Close,Volume,Risk Free Rate
2023-02-16,0.08928,0.09196,0.08471,0.0849,626064825.4,0.0384299993515014
2023-02-17,0.08488,0.08852,0.08431,0.08775,297969195.0,0.0382800006866455
2023-02-18,0.08774,0.09047,0.08676,0.08886,224574259.8,0.0382800006866455
2023-02-19,0.08887,0.09003,0.08566,0.08704,339755858.1,0.0382800006866455
2023-02-20,0.08698,0.08874,0.08516,0.0883,377439827.8,0.0382800006866455
2023-02-21,0.0883,0.08887,0.08427,0.08545,312438103.0,0.0395499992370605
2023-02-22,0.08547,0.08908,0.08287,0.08549,492686128.1,0.0392300009727478
2023-02-23,0.08556,0.08642,0.08351,0.08422,229833854.9,0.0387899994850158
2023-02-24,0.08421,0.085,0.07926,0.08092,274523119.4,0.0394899988174438
2023-02-25,0.08095,0.08219,0.07849,0.08076,198997389.0,0.0394899988174438
2023-02-26,0.08076,0.08265,0.08038,0.08218,129213951.2,0.0394899988174438
2023-02-27,0.08217,0.08228,0.07992,0.08135,193756692.8,0.0392199993133544
2023-02-28,0.08137,0.08308,0.07989,0.08086,306867778.6,0.0391599988937377
2023-03-01,0.08086,0.08286,0.08026,0.08192,158107052.1,0.0399399995803833
2023-03-02,0.0819,0.08226,0.07959,0.08054,152939384.3,0.0407299995422363
2023-03-03,0.08053,0.0806,0.07242,0.07685,396097323.4,0.0396399998664855
2023-03-04,0.07686,0.07729,0.07257,0.07463,74967577.4,0.0396399998664855
2023-03-05,0.07463,0.07607,0.07427,0.07477,134867377.0,0.0396399998664855
2023-03-06,0.07475,0.07514,0.07317,0.0748,194382415.6,0.0398300004005432
2023-03-07,0.07477,0.07598,0.0723,0.07407,265374398.8,0.0397499990463256
2023-03-08,0.07405,0.0743,0.07,0.07113,352613734.1,0.0397600007057189
2023-03-09,0.07109,0.07226,0.06403,0.06603,665493458.8,0.0392499995231628
2023-03-10,0.06604,0.06622,0.06253,0.06598,422024176.1,0.0369499993324279
2023-03-11,0.06594,0.06914,0.06364,0.06659,338343740.6,0.0369499993324279
2023-03-12,0.06656,0.07151,0.0659,0.07101,259812226.1,0.0369499993324279
2023-03-13,0.071,0.07397,0.06827,0.07316,381494210.6,0.0351500010490417
2023-03-14,0.07316,0.07794,0.07153,0.0748,427441281.4,0.0363800001144409
