,Open,High,Low,Close,Volume,Risk Free Rate
2023-08-11,1850.38,1855.54,1836.41,1846.76,51401.34991694,0.041680002212524415
2023-08-12,1846.77,1852.7,1844.93,1849.09,20642.38300552,0.041680002212524415
2023-08-13,1849.08,1859.99,1833.03,1838.98,28666.82026917,0.041680002212524415
2023-08-14,1838.98,1854.19,1833.27,1844.01,50098.05830532,0.04184000015258789
2023-08-15,1844.0,1845.65,1811.34,1827.19,50058.31066665,0.0422100019454956
2023-08-16,1827.19,1829.39,1795.15,1805.51,67033.53900372,0.042579998970031736
2023-08-17,1805.51,1808.18,1540.0,1681.42,189703.49281099,0.04308000087738037
2023-08-18,1681.46,1699.33,1640.18,1661.4,160133.36341664,0.042509999275207516
2023-08-19,1661.28,1696.0,1653.84,1669.65,54692.61607557,0.042509999275207516
2023-08-20,1669.65,1694.48,1661.83,1685.39,46426.8880623,0.042509999275207516
2023-08-21,1685.36,1688.1,1648.65,1667.2,79186.37606678,0.043420000076293944
2023-08-22,1667.2,1669.11,1579.34,1634.33,110850.76953958,0.04328000068664551
2023-08-23,1634.32,1700.46,1628.81,1679.22,111905.50727937,0.04197999954223633
2023-08-24,1679.21,1683.16,1634.73,1660.36,77217.23328739,0.04235000133514404
2023-08-25,1660.41,1676.19,1634.54,1652.75,83010.44896333,0.04238999843597412
2023-08-26,1652.77,1654.74,1643.0,1646.25,18986.91545465,0.04238999843597412
2023-08-27,1646.26,1659.43,1645.38,1657.51,22244.70853004,0.04238999843597412
2023-08-28,1657.5,1662.7,1621.04,1651.94,60673.32488256,0.04211999893188476
2023-08-29,1651.93,1745.88,1639.04,1729.34,122275.58410558,0.04122000217437744
2023-08-30,1729.26,1730.96,1694.98,1705.47,61097.35135783,0.04118000030517578
2023-08-31,1705.46,1726.16,1629.76,1645.58,116578.15874188,0.04092999935150146
2023-09-01,1645.58,1654.27,1601.69,1628.46,92601.69188977,0.04172999858856201
2023-09-02,1628.46,1644.64,1627.43,1636.83,30753.43898001,0.04172999858856201
2023-09-03,1636.83,1646.97,1624.93,1635.68,36069.9532434,0.04172999858856201
2023-09-04,1635.65,1644.57,1615.85,1629.75,43034.41180385,0.04172999858856201
